missing_slug	score	suggested_content_id	suggested_building_name	content_url
menara-dea-i	0.92		Menara Dea 1	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/387
menara-dea-i	0.92		Menara Dea 2	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/148
menara-dea-i	0.82		Menara Era	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/623
menara-mulia	0.88		Menara BRIPens  (Ex Menara Mulia )	
menara-mulia	0.88		Wisma Mulia 1	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/30
menara-mulia	0.88		Wisma Mulia 2	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/349
menara-palma-2	0.93		Menara Palma 1	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/374
menara-palma-2	0.88		Palma Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/605
menara-palma-2	0.79		Menara Prima I	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/388
menara-prima-ii	0.97		Menara Prima I	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/388
menara-prima-ii	0.88		Menara Sun Life (Ex. Menara Prima II)	
menara-prima-ii	0.76		Menara Palma 1	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/374
menara-standard-chartered	0.88		RDTX Square (Ex Menara Standard Chartered)	
menara-standard-chartered	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
menara-standard-chartered	0.59		Menara Mandiri 2	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/602
mgk-kemayoran-mall-mgk	0.88		KEM Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/626
mgk-kemayoran-mall-mgk	0.88		Gedung Mayora	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/567
mgk-kemayoran-mall-mgk	0.54		Kebayoran Icon Mini Office	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/274
mgk-kemayoran-mgk-mall-retail	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
mgk-kemayoran-mgk-mall-retail	0.88		KEM Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/626
mgk-kemayoran-mgk-mall-retail	0.88		MGK Mall (Retail & Office)	
office-one	1.00		One Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/79
office-one	0.88		Graha Surveyor Indonesia	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/2
office-one	0.88		Palma One	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/376
oleos-2	0.88		DWB Tower (Ex Oleos 2)	
oleos-2	0.88		Plaza Oleos	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/167
oleos-2	0.56		Noble House	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/391
one-wolter-place	0.88		Hans Wolter Place (Ex One Wolter Place)	
one-wolter-place	0.88		One Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/79
one-wolter-place	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
pacific-century-place-tower-pcp	1.00		Pacific Century Place Tower (PCP Tower)	
pacific-century-place-tower-pcp	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
pacific-century-place-tower-pcp	0.88		NT Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/596
plaza-abda	0.88		Plaza Asia (Ex Plaza Abda)	
plaza-abda	0.73		Plaza Aminta	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/609
plaza-abda	0.73		Plaza Basmar	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/9
plaza-alstom	0.88		Plaza Simatupang (Ex. Plaza Alstom)	
plaza-alstom	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
plaza-alstom	0.75		Plaza Basmar	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/9
plaza-bapindo-citibank-tower	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
plaza-bapindo-citibank-tower	0.64		Bangkok Bank	
plaza-bapindo-citibank-tower	0.62		Gedung Panin Bank	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/404
plaza-bapindo-mandiri-tower	0.88		Plaza Mandiri	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/24
plaza-bapindo-mandiri-tower	0.65		Pelindo Tower / Maritime Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/142
plaza-bapindo-mandiri-tower	0.64		Wisma Mandiri	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/43
plaza-centris	0.88		Gedung MIGAS (Ex Plaza Centris)	
plaza-centris	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
plaza-centris	0.88		IS Plaza	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/322
plaza-permata	0.88		Gedung Permata Kuningan	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/360
plaza-permata	0.88		Plaza Bank Index (Ex Plaza Permata)	
plaza-permata	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
podomoro-city	0.88		City Plaza	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/260
podomoro-city	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
podomoro-city	0.88		Soho @ Podomoro City	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/537
prince-center	0.92		Prince Centre	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/603
prince-center	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
prince-center	0.88		NT Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/596
rdtx-tower	0.88		RDTX Square (Ex Menara Standard Chartered)	
rdtx-tower	0.88		Mandiri Inhealth Tower (Ex RDTX Tower)	
rdtx-tower	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
social-security-tower	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
social-security-tower	0.88		Plaza BP Jamsostek (Social Security Tower)	
social-security-tower	0.67		Equity Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/127
sophie-building	0.76		Haery Building	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/463
sophie-building	0.74		KMO Building	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/220
sophie-building	0.73		Seyeon Building	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/576
st-moritz-office-tower	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
st-moritz-office-tower	0.88		Lippo St Moritz Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/517
st-moritz-office-tower	0.79		ITS Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/622
sudirman-78	0.96		Sudirman 7.8	
sudirman-78	0.88		Menara Sudirman	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/242
sudirman-78	0.88		Office 8	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/144
talavera-talavera-office-park	0.88		Talavera Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/59
talavera-talavera-office-park	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
talavera-talavera-office-park	0.88		Menara Era	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/623
